num_jobs,num_machines,meta,google,meta_better
10,15,1158,1070.0,0.0
10,15,1225,1102.0,0.0
10,15,1278,1150.0,0.0
10,20,1376,1221.0,0.0
10,20,1559,1397.0,0.0
10,20,1435,1316.0,0.0
15,15,1320,1119.0,0.0
15,15,1447,1295.0,0.0
15,15,1446,1253.0,0.0
15,20,1685,1453.0,0.0
15,20,1740,1559.0,0.0
15,20,1731,1583.0,0.0
20,20,1896,1826.0,0.0
20,20,1993,1800.0,0.0
20,20,1836,1794.0,0.0
20,15,1648,1553.0,0.0
20,15,1766,1537.0,0.0
20,15,1624,1494.0,0.0
25,20,2218,2136.0,0.0
25,15,1841,1879.0,1.0
25,15,1972,1924.0,0.0
25,15,2028,1905.0,0.0
25,20,2305,2247.0,0.0
25,20,2138,2243.0,1.0
30,15,2228,2199.0,0.0
30,15,1993,2100.0,1.0
30,20,2394,2466.0,1.0
30,20,2526,2469.0,0.0
30,20,2554,2575.0,1.0
30,15,2154,2246.0,1.0
35,20,2763,2898.0,1.0
35,20,2708,2480.0,0.0
35,20,2764,2764.0,0.0
35,15,2299,2419.0,1.0
35,15,2323,2469.0,1.0
35,15,2537,2566.0,1.0
40,20,3221,3166.0,0.0
40,15,2596,2730.0,1.0
40,15,2791,2674.0,0.0
40,15,2704,2831.0,1.0
40,20,2897,2988.0,1.0
40,20,3111,2953.0,0.0
45,20,3281,3331.0,1.0
45,20,3259,3418.0,1.0
45,15,2885,3085.0,1.0
45,15,2953,3048.0,1.0
45,20,3143,3267.0,1.0
45,15,3000,3047.0,1.0
50,20,3658,3828.0,1.0
50,20,3419,3945.0,1.0
50,15,3183,3520.0,1.0
50,15,3435,3196.0,0.0
50,15,3044,3115.0,1.0
50,20,3804,3952.0,1.0
55,20,3627,4049.0,1.0
55,20,3585,4081.0,1.0
55,15,3654,3805.0,1.0
55,20,3828,4210.0,1.0
55,15,3524,3848.0,1.0
55,15,3567,3734.0,1.0
60,15,3868,4083.0,1.0
60,15,3782,3870.0,1.0
60,20,4212,4057.0,0.0
60,20,4118,4344.0,1.0
60,20,4039,4222.0,1.0
60,15,3929,3942.0,1.0
65,20,4428,4834.0,1.0
65,15,4041,4233.0,1.0
65,20,4342,4330.0,0.0
65,20,4293,4595.0,1.0
65,15,3998,4195.0,1.0
65,15,4148,4617.0,1.0
70,20,4509,4877.0,1.0
70,20,4532,4882.0,1.0
70,15,4604,4371.0,0.0
70,15,4301,4568.0,1.0
70,15,4157,4468.0,1.0
70,20,4648,4629.0,0.0
75,15,4557,4737.0,1.0
75,15,4597,4861.0,1.0
75,20,4941,5150.0,1.0
75,20,4849,4793.0,0.0
75,20,5222,4956.0,0.0
75,15,4616,4866.0,1.0
80,20,5374,5300.0,0.0
80,20,5005,5327.0,1.0
80,20,5017,5350.0,1.0
80,15,5135,5393.0,1.0
80,15,4623,4759.0,1.0
80,15,4904,4870.0,0.0
85,20,5570,5561.0,0.0
85,20,5389,5724.0,1.0
85,15,5187,5029.0,0.0
85,15,4881,5440.0,1.0
85,15,5369,5406.0,1.0
85,20,5572,5675.0,1.0
90,20,5655,5679.0,1.0
90,20,5602,5412.0,0.0
90,20,5789,5908.0,1.0
90,15,5622,5530.0,0.0
90,15,5507,5415.0,0.0
90,15,5023,5455.0,1.0
95,20,5997,6209.0,1.0
95,20,5822,5861.0,1.0
95,15,5483,5479.0,0.0
95,15,5723,5742.0,1.0
95,15,5613,5829.0,1.0
95,20,6036,6096.0,1.0
100,20,5875,5985.0,1.0
100,15,5923,5907.0,0.0
100,15,5689,5930.0,1.0
100,15,5892,6063.0,1.0
100,20,6153,6201.0,1.0
100,20,6265,6126.0,0.0
